Country,Birth Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,KMeans_Cluster,HC_Cluster,DBSCAN_Cluster,Cluster_Name
Azerbaijan,0.016478859317085513,10.375086063128357,3.7647715480611597,9.429000039537872,24.101587620226063,0.05492515273694791,5.177886597969212,0.04232240680011364,0.18232155679395465,0.1692882733943211,4.2915126271330495,4.208131018193999,0.4105802087749348,0.22915620824049415,0.5198920911642302,0.05884929119308221,15.965158757271457,0.4227003398990983,20.076414872665467,20.19249911645933,3,0,-1,Developing
"Bahamas, The",0.0156461882875588,7.896609934437447,3.321154673988619,9.224319135290479,22.74137887947139,0.06283033224406119,7.287086993483513,0.012156577706466793,0.2741291060470774,0.05456102645393112,4.355722146787147,4.273455843385807,0.5306282510621704,0.22412768228304678,0.5219937961458384,0.06167384494494418,12.72216590934862,0.6006522649471692,21.42331224046319,19.85466576629184,1,0,-1,Moderately Developed
Bahrain,0.018142124235194314,9.794239146939045,2.9525035390031706,9.03338286445056,23.646727158098717,0.037962525517368596,6.452534155805308,0.008654747087750426,0.325422400434628,0.0791665843445819,4.3497815352570255,4.329720681971945,0.6658550382719378,0.22412768228304678,0.5462521658985684,0.021761491781512692,13.794100214369173,0.633682942929605,21.161471139499696,20.247089350203503,1,0,-1,Moderately Developed
Bangladesh,0.022889862909622423,10.503614429522852,3.7229092027002477,10.089226340861035,25.0020269994334,0.03283944938313604,2.8643962714929043,0.04761731547905679,0.015267472130788436,0.13889199886661863,4.240773195955449,4.2251478780523675,0.18232155679395465,0.29106097291731686,0.4815235577956385,0.042838421702279056,18.787009066585224,0.24379046764860124,18.14725554527004,20.128222135909514,3,1,-1,Developing
Barbados,0.012916225266546327,7.814244284345567,3.24918117436353,9.21509061017037,22.091353143575393,0.06830545578372675,6.718362626970468,0.014357967747947885,0.39515573844930313,0.08878544342840332,4.350774091169777,4.287293211590342,0.5835040031101182,0.18526593580135212,0.5235899656786607,0.1030424463946878,12.524498683957576,0.2835002639430154,20.644305877306273,19.392333408943756,1,0,-1,Moderately Developed
Belarus,0.0101026421778095,10.825595179578002,3.681157408020026,10.164507718841985,24.335522687922694,0.059356850207712676,5.42799518985657,0.006975613736425242,0.17589066646366422,0.1975258956187465,4.341805421187017,4.175570002144687,0.4407332469456224,0.14735843389331454,0.5303567209885466,0.13224210030579742,16.083775016784873,0.5468756350793076,19.987371735543974,20.235380198007615,3,3,-1,Developing
Belgium,0.011396352643245075,11.446779087822112,3.0185469513201624,10.973766313648014,26.690664203785836,0.09264930014457513,8.197559918758174,0.0041452427514889435,0.46518434280978666,0.08497725829016513,4.420692460177672,4.3497815352570255,0.653926467406664,0.15772669583599302,0.5052408270104641,0.15871169115482087,16.177255968625346,0.6801788385507297,23.08705456970812,23.582931639202826,2,2,-1,Highly Developed
Belize,0.025967596825786938,7.436390595242096,3.643640668635092,9.208191911841507,20.89751755920349,0.04783732941416013,5.334575114570661,0.017688780819798765,0.11607217125275403,0.1331851788532969,4.336787849195037,4.250690632612795,0.325422400434628,0.31761421798681627,0.4609240730044411,0.03966440169121147,12.542419874338236,0.37880517699974126,19.176802728368536,17.597950432925824,1,0,-1,Moderately Developed
Benin,0.03899879504015396,8.304057090420573,3.4139364074395853,8.221623684517644,22.324341578931335,0.043943272107454766,3.2756922999118614,0.07045846364856141,0.0,0.11332868530700319,4.093061688409211,4.041700828736679,0.2504593619611727,0.3664577055358967,0.4245133030788589,0.028138825170991724,15.95118160194425,0.3394348766331488,18.756603386167644,18.681860883360063,0,1,-1,Low Developed
Bermuda,0.012688391584148225,7.459870480242116,3.295836866004329,9.57073837671504,22.327020987075876,0.05921185963184608,5.267858159063328,0.019802627296179712,0.5215372793609184,0.11332868530700319,4.413264385169161,4.346797942790138,0.6089291014759282,0.2619795750994079,0.4962194713766286,0.050693114315518116,11.068184042163045,0.6931471805599453,19.880904492173475,19.729637072506865,1,0,-1,Moderately Developed
